x-axis,1,,,,,,,,
second,Volt,,second,Volt,uA,,,,
-2.77E-03,7.29E-02,,0.003,0.5150754,5.15075E-07,5.23869E-12,,,
-2.76E-03,7.04E-02,,0.00301,0.5326633,5.32663E-07,5.35176E-12,,,
-2.75E-03,7.29E-02,,0.00302,0.5376885,5.37689E-07,5.36432E-12,,,
-2.74E-03,7.29E-02,,0.00303,0.5351759,5.35176E-07,5.4397E-12,,,
-2.73E-03,7.04E-02,,0.00304,0.5527638,5.52764E-07,5.5402E-12,,,
-2.72E-03,7.04E-02,,0.00305,0.5552764,5.55276E-07,5.55276E-12,,,
-2.71E-03,9.05E-02,,0.00306,0.5552764,5.55276E-07,5.6407E-12,,,
-2.70E-03,7.29E-02,,0.00307,0.5728643,5.72864E-07,5.72864E-12,,,
-2.69E-03,7.04E-02,,0.00308,0.5728643,5.72864E-07,5.72864E-12,,,
-2.68E-03,7.29E-02,,0.00309,0.5728643,5.72864E-07,5.74121E-12,,,
-2.67E-03,5.53E-02,,0.0031,0.5753769,5.75377E-07,5.75377E-12,,,
-2.66E-03,9.05E-02,,0.00311,0.5753769,5.75377E-07,5.75377E-12,,,
-2.65E-03,7.29E-02,,0.00312,0.5753769,5.75377E-07,5.75377E-12,,,
-2.64E-03,7.29E-02,,0.00313,0.5753769,5.75377E-07,5.75377E-12,,,
-2.63E-03,7.29E-02,,0.00314,0.5753769,5.75377E-07,5.75377E-12,,,
-2.62E-03,9.05E-02,,0.00315,0.5753769,5.75377E-07,5.84171E-12,,,
-2.61E-03,5.78E-02,,0.00316,0.5929648,5.92965E-07,5.84171E-12,,,
-2.60E-03,7.29E-02,,0.00317,0.5753769,5.75377E-07,5.75377E-12,,,
-2.59E-03,7.29E-02,,0.00318,0.5753769,5.75377E-07,5.86683E-12,,,
-2.58E-03,5.53E-02,,0.00319,0.59799,5.9799E-07,6.05528E-12,,,
-2.57E-03,7.04E-02,,0.0032,0.6130653,6.13065E-07,6.04271E-12,,,
-2.56E-03,7.54E-02,,0.00321,0.5954774,5.95477E-07,5.94221E-12,,,
-2.55E-03,5.53E-02,,0.00322,0.5929648,5.92965E-07,5.95477E-12,,,
-2.54E-03,7.04E-02,,0.00323,0.59799,5.9799E-07,5.96734E-12,,,
-2.53E-03,7.29E-02,,0.00324,0.5954774,5.95477E-07,5.95477E-12,,,
-2.52E-03,7.29E-02,,0.00325,0.5954774,5.95477E-07,6.04271E-12,,,
-2.51E-03,7.04E-02,,0.00326,0.6130653,6.13065E-07,6.13065E-12,,,
-2.50E-03,7.29E-02,,0.00327,0.6130653,6.13065E-07,6.14322E-12,,,
-2.49E-03,7.29E-02,,0.00328,0.6155779,6.15578E-07,6.14322E-12,,,
-2.48E-03,7.29E-02,,0.00329,0.6130653,6.13065E-07,6.14322E-12,,,
-2.47E-03,7.29E-02,,0.0033,0.6155779,6.15578E-07,6.24372E-12,,,
-2.46E-03,5.53E-02,,0.00331,0.6331658,6.33166E-07,6.34422E-12,,,
-2.45E-03,7.29E-02,,0.00332,0.6356784,6.35678E-07,6.44472E-12,,,
-2.44E-03,7.29E-02,,0.00333,0.6532663,6.53266E-07,6.44472E-12,,,
-2.43E-03,5.53E-02,,0.00334,0.6356784,6.35678E-07,6.44472E-12,,,
-2.42E-03,7.29E-02,,0.00335,0.6532663,6.53266E-07,6.53266E-12,,,
-2.41E-03,5.28E-02,,0.00336,0.6532663,6.53266E-07,6.45729E-12,,,
-2.40E-03,7.29E-02,,0.00337,0.638191,6.38191E-07,6.45729E-12,,,
-2.39E-03,7.29E-02,,0.00338,0.6532663,6.53266E-07,6.54523E-12,,,
-2.38E-03,7.29E-02,,0.00339,0.6557789,6.55779E-07,6.55779E-12,,,
-2.37E-03,7.29E-02,,0.0034,0.6557789,6.55779E-07,6.55779E-12,,,
-2.36E-03,7.29E-02,,0.00341,0.6557789,6.55779E-07,6.55779E-12,,,
-2.35E-03,7.29E-02,,0.00342,0.6557789,6.55779E-07,6.65829E-12,,,
-2.34E-03,7.29E-02,,0.00343,0.6758794,6.75879E-07,6.74623E-12,,,
-2.33E-03,7.29E-02,,0.00344,0.6733668,6.73367E-07,6.65829E-12,,,
-2.32E-03,7.54E-02,,0.00345,0.6582915,6.58292E-07,6.67085E-12,,,
-2.31E-03,7.29E-02,,0.00346,0.6758794,6.75879E-07,6.75879E-12,,,
-2.30E-03,5.53E-02,,0.00347,0.6758794,6.75879E-07,6.77136E-12,,,
-2.29E-03,7.29E-02,,0.00348,0.678392,6.78392E-07,6.87186E-12,,,
-2.28E-03,7.29E-02,,0.00349,0.6959799,6.9598E-07,6.94724E-12,,,
-2.27E-03,5.28E-02,,0.0035,0.6934673,6.93467E-07,6.94724E-12,,,
